pk,created_at,sentiment_noneu,sentiments_labels,bert_sentiment_labels,vader_sentiment_labels,distilbert_sentiment_labels,flair_sentiment_labels,roberta_sentiment_labels,sentistrength_sentiment_labels
1,01/03/2020 10:56,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG
2,02/03/2020 21:01,POS,NEU,NEU,POS,NEG,NEG,NEG,POS
3,02/03/2020 21:37,NEG,NEU,NEU,POS,NEG,NEG,NEG,NEU
4,04/03/2020 20:31,NEG,NEU,NEG,POS,NEG,NEG,NEG,NEU
5,05/03/2020 12:11,POS,POS,NEU,NEU,NEG,NEG,NEG,NEU
6,05/03/2020 18:06,NEG,NEG,NEG,POS,NEG,NEG,NEG,POS
7,05/03/2020 20:46,NEG,NEG,NEG,NEG,NEG,NEG,NEG,POS
8,05/03/2020 22:31,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG
9,05/03/2020 23:00,POS,POS,POS,POS,POS,POS,POS,NEU
10,06/03/2020 08:13,NEG,NEG,NEU,POS,NEG,NEG,POS,NEG
11,06/03/2020 09:56,POS,NEU,NEU,NEU,NEG,NEG,NEG,NEU
12,06/03/2020 10:12,POS,POS,NEU,NEU,NEG,POS,POS,NEU
13,06/03/2020 14:56,NEG,NEU,NEU,NEG,NEG,NEG,NEG,POS
14,06/03/2020 22:01,NEG,NEG,NEG,NEU,NEG,NEG,NEG,NEU
15,07/03/2020 11:06,POS,NEU,POS,POS,NEG,NEG,POS,POS
16,07/03/2020 14:34,NEG,NEG,NEU,POS,NEG,NEG,NEG,NEU
17,07/03/2020 18:49,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG
18,07/03/2020 19:12,NEG,NEU,NEU,NEG,NEG,NEG,NEG,NEG
19,08/03/2020 02:50,POS,POS,POS,POS,NEG,POS,POS,NEG
20,08/03/2020 09:53,NEG,NEG,NEG,POS,NEG,NEG,NEG,POS
21,08/03/2020 13:01,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEU
22,09/03/2020 15:03,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEU
23,09/03/2020 21:16,NEG,NEU,NEU,NEU,NEG,NEG,NEG,NEU
24,10/03/2020 09:40,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG
25,10/03/2020 10:17,POS,POS,NEU,NEU,POS,POS,POS,NEU
26,10/03/2020 14:50,NEG,NEG,NEG,POS,NEG,NEG,NEG,NEG
27,10/03/2020 22:55,NEG,NEG,NEU,NEG,NEG,NEG,NEG,NEG
28,11/03/2020 07:52,POS,NEU,POS,NEG,NEG,POS,NEG,NEG
29,11/03/2020 11:54,POS,POS,NEG,POS,POS,NEG,NEG,NEU
30,11/03/2020 18:32,POS,NEU,NEU,NEU,NEG,NEG,POS,NEU
31,11/03/2020 19:43,NEG,NEG,NEG,POS,NEG,NEG,NEG,NEG
32,12/03/2020 06:54,NEG,NEG,NEU,NEU,NEG,POS,POS,NEU
33,12/03/2020 10:09,NEG,NEG,NEG,NEU,NEG,POS,NEG,NEG
34,12/03/2020 10:25,NEG,NEG,NEG,NEG,NEG,NEG,NEG,NEG
35,12/03/2020 12:00,NEG,NEG,NEU,NEU,NEG,NEG,NEG,NEU
36,12/03/2020 14:26,NEG,NEG,NEU,POS,NEG,NEG,NEG,POS
37,12/03/2020 16:54,POS,POS,NEU,POS,NEG,POS,NEG,NEU
38,12/03/2020 17:43,POS,POS,NEG,NEG,NEG,NEG,NEG,NEG
39,12/03/2020 18:39,NEG,NEG,NEU,POS,POS,POS,POS,POS
40,12/03/2020 18:57,POS,POS,POS,POS,POS,POS,POS,POS
